"0 for no, 1 for yes, 2 for abstain",,,,,
Meeting Record,Russia,China,United States,France,United Kingdom
S/PV.4251,1,2,1,1,1
S/PV.7893,0,0,1,1,1
S/PV.7853,1,1,2,1,1
S/PV.4248,2,1,2,2,2
S/PV.7851,2,1,1,2,2
S/PV.4205,1,1,2,1,1
S/PV.4162,2,1,1,1,1
S/PV.7850,2,2,1,1,1
S/PV.7825,0,0,1,1,1
S/PV.4103,1,2,1,1,1
S/PV.7807,2,2,1,1,1
S/PV.7785,0,2,1,1,1
S/PV.4438,1,1,0,1,2
S/PV.7754,2,2,1,1,1
S/PV.4384,1,1,2,1,1
S/PV.7752,1,2,1,1,1
S/PV.4305,1,1,0,2,2
S/PV.7684,2,1,1,1,1
S/PV.7636,2,1,1,1,1
S/PV.4683,2,1,1,1,1
S/PV.7593,2,1,1,1,1
S/PV.4681,1,1,0,1,1
S/PV.7581,2,1,1,1,1
S/PV.4614,1,1,2,1,1
S/PV.4563,1,1,0,1,1
S/PV.7532,2,1,1,1,1
S/PV.7498,0,2,1,1,1
S/PV.4842,1,1,0,1,2
S/PV.7447,2,2,1,1,1
S/PV.7426,2,1,1,1,1
S/PV.4828,1,1,0,1,2
S/PV.7354,1,1,0,1,2
S/PV.4820,1,1,0,0,1
S/PV.7348,2,1,1,1,1
S/PV.7307,2,1,1,1,1
S/PV.4803,1,1,1,2,1
S/PV.7286,2,1,1,1,1
S/PV.7180,0,0,1,1,1
S/PV.4772,1,1,1,2,1
S/PV.7138,0,2,1,1,1
S/PV.7038,2,1,1,1,1
S/PV.7060,1,1,2,2,2
S/PV.5051,1,1,0,1,2
S/PV.5040,2,2,1,1,1
S/PV.7036,2,1,1,1,1
S/PV.5028,2,2,1,1,1
S/PV.6689,2,1,1,1,1
S/PV.5015,1,2,1,1,1
S/PV.4972,1,1,2,1,1
S/PV.6838,2,2,1,1,1
S/PV.4947,0,1,1,1,1
S/PV.4934,1,1,0,1,2
S/PV.5158,1,2,2,1,1
S/PV.6810,0,0,1,1,1
S/PV.6711,0,0,1,1,1
S/PV.5153,2,2,1,1,1
S/PV.5565,1,1,0,1,2
S/PV.6674,2,2,1,1,1
S/PV.6627,0,0,1,1,1
S/PV.5519,2,2,1,1,1
S/PV.5488,1,1,0,1,2
S/PV.5440,2,2,1,1,1
S/PV.6498,2,2,1,1,1
S/PV.5423,2,2,1,1,1
S/PV.5744,2,1,1,1,1
S/PV.6484,1,1,0,1,1
S/PV.6463,2,1,1,1,1
S/PV.6450,1,1,1,2,1
S/PV.5742,2,1,1,1,1
S/PV.5710,2,1,1,1,1
S/PV.6401,1,2,1,1,1
S/PV.5685,2,2,1,1,1
S/PV.6254,1,2,1,1,1
S/PV.5619,0,0,1,1,1
S/PV.5947,1,1,2,1,1
S/PV.6143,0,2,1,1,1
S/PV.5933,0,0,1,1,1
S/PV.6963,1,1,2,1,1
S/PV.3475,0,2,1,1,1
S/PV.3470,2,1,1,1,1
S/PV.4084,2,2,1,2,1
S/PV.3453,1,2,1,1,1
S/PV.4077,2,2,1,2,1
S/PV.3432,1,1,2,1,1
S/PV.4074,2,1,1,1,1
S/PV.3430,2,1,1,1,1
S/PV.4017,1,2,1,1,1
S/PV.3428,1,2,1,1,1
S/PV.4011,1,2,1,1,1
S/PV.4003,2,2,1,1,1
S/PV.3989,1,1,0,0,0
S/PV.3982,2,0,1,1,1
S/PV.3413,1,2,1,1,1
S/PV.3595,2,1,1,1,1
S/PV.3949,2,2,1,1,1
S/PV.3944,1,2,1,1,1
S/PV.3551,2,1,1,1,1
S/PV.3543,2,2,1,1,1
S/PV.3937,2,2,1,1,1
S/PV.3930,1,2,1,1,1
S/PV.3538,1,1,0,1,1
S/PV.3868,1,2,1,1,1
S/PV.3522,2,2,1,1,1
S/PV.3826,2,2,1,2,1
S/PV.3496,1,2,1,1,1
S/PV.3487,2,1,1,1,1
S/PV.3817,2,1,1,1,1
S/PV.3716,2,1,1,1,1
S/PV.3707,1,2,1,1,1
S/PV.3791,1,2,1,1,1
S/PV.3758,1,2,1,1,1
S/PV.3756,1,1,0,1,1
S/PV.3698,1,1,2,1,1
S/PV.3747,1,1,0,1,1
S/PV.3690,2,2,1,1,1
S/PV.3683,2,2,1,1,1
S/PV.3730,1,0,1,1,1
S/PV.3670,2,1,1,1,1
S/PV.3660,2,2,1,1,1
